,total_requests,js_requests,img_requests,doc_requests,css_requests,font_requests,media_requests,other_requests,3rdparty_requests,total_size,js_size,img_size,doc_size,css_size,font_size,media_size,other_size,3rdparty_size,firstContentfulPaint,firstMeaningfulPaint,largestContentfulPaint,totalCumulativeLayoutShift,speedIndex,interactive,observedLoad,observedDomContentLoaded,RequestsBeforeSI,TransferBeforeSI,RequestsAfterSI,TransferAfterSI
https://duke.edu/,36,6,23,1,2,3,0,1,14,2584.138,280.939,2204.911,23.475,25.105,49.366,0.0,0.342,919.741,910,910,1385,0.19152220860705438,1911,1735,4071,1573,21,1144988,18,1440548
https://jpost.com/,548,96,171,38,31,7,0,205,504,2718.401,1769.878,395.072,192.533,68.422,97.128,0.0,195.368,2503.608,754,843,1469,0.07295311905420639,4655,13928,28374,1692,45,330091,514,2388310
https://gallup.com/,42,7,17,1,4,8,0,5,11,1264.74,157.884,870.22,11.79,77.477,144.145,0.0,3.224,229.753,1520,1520,2453,0.0010735200411391092,3432,1786,3847,3114,43,1264740,0,0
https://mashable.com/,333,50,82,29,6,10,0,156,315,3799.037,1181.083,2119.185,74.309,15.734,289.159,0.0,119.567,1656.922,705,705,7151,0.008966939316978569,7555,18695,23653,2603,40,1396246,298,2402791
https://arstechnica.com/,416,71,162,17,3,6,1,156,410,6168.845,2169.241,1580.522,59.899,73.193,138.867,2008.804,138.319,6129.884,1447,1777,3168,0.09001885224153527,9690,14090,19789,2265,180,3045106,250,3146513
https://ucsb.edu/,65,19,15,2,3,9,0,17,44,3703.675,1167.598,1941.382,171.858,115.321,271.443,0.0,36.073,1222.623,1327,2202,3913,1.0160586500916409,2432,4848,4345,1406,31,3298904,37,406054
https://sciencedirect.com/,35,13,6,2,3,3,0,8,32,909.934,481.179,217.438,28.489,21.384,154.912,0.0,6.532,880.353,830,830,1030,0.0031588607863168887,1428,2754,1439,731,12,688544,23,221390
https://teamviewer.com/,110,36,19,3,15,10,0,27,61,1495.097,663.253,15.219,21.051,89.993,654.732,0.0,50.849,577.874,1524,1660,2781,0.0,3399,3935,6249,2418,68,1329465,43,165632
https://bmj.com/,42,21,5,1,1,2,0,12,17,1030.787,762.327,91.307,32.526,0.758,48.794,0.0,95.075,424.674,1628,1628,1783,0.0169221885135363,2730,3893,4268,3269,27,673874,18,357434
https://phpbb.com/,53,5,23,1,21,0,0,3,2,407.891,127.803,195.903,6.648,52.899,0.0,0.0,24.638,17.762,1973,2133,3026,0.006444423104874584,2433,2133,2049,1548,51,383358,2,24533
https://slack.com/,96,19,23,8,6,4,11,25,94,11761.336,650.634,145.905,62.673,210.381,209.692,10419.179,62.872,11738.829,5620,5620,5620,0.07640372154077367,12764,12243,33737,33134,19,361808,82,11399528
https://yahoo.com/,132,44,40,4,8,3,0,33,94,1204.483,336.668,354.994,215.291,15.784,88.419,0.0,193.327,715.113,1039,1473,2000,0.00662600692277533,4234,6689,10380,7894,54,742066,79,464939
https://airbnb.com/,312,86,102,6,20,5,0,93,291,3869.456,1278.153,1496.055,180.636,33.707,96.423,0.0,784.482,3683.671,1596,1683,5857,0.0,11748,11980,16963,7630,214,1920037,98,1949419
https://nationalgeographic.com/,270,75,98,11,6,5,0,75,250,16665.408,3148.282,3846.272,430.518,133.247,192.576,0.0,8914.513,15837.423,1425,1425,4383,0.7459594131640673,7626,14676,15095,5375,90,5171888,193,11495022
https://elsevier.com/,44,10,19,1,2,4,0,8,22,1445.527,292.269,912.71,47.399,48.295,112.195,0.0,32.659,484.557,1984,1984,3227,0.00015856466247814188,2981,2871,3161,1889,45,1449512,2,1801
https://space.com/,701,90,215,65,7,6,0,318,697,5035.971,2890.445,1374.173,161.676,120.683,64.006,0.0,424.988,4964.279,654,939,1379,0.10355770570375364,13532,19699,34727,1979,346,3399714,362,1637641
https://theregister.co.uk/,61,13,26,4,3,2,0,13,41,819.562,418.335,269.555,27.35,26.873,52.169,0.0,25.28,647.33,1919,1919,1919,0.13399291339745947,4339,6915,11046,4247,26,435389,37,386188
https://theconversation.com/,37,6,13,1,3,1,0,13,8,747.644,359.359,254.72,56.001,41.477,12.882,0.0,23.205,134.765,813,817,1791,0.0,1970,2729,4121,2310,17,406005,22,341639
https://usembassy.gov/,78,31,11,4,11,3,0,18,45,1036.669,747.254,56.699,47.007,101.407,80.247,0.0,4.055,723.85,1474,1508,1756,0.553459538720575,2575,3960,5293,2994,39,447495,39,589174
https://google.co.jp/,36,10,7,2,1,2,0,14,13,788.303,612.103,29.5,58.057,0.919,26.204,0.0,61.52,319.584,771,771,1151,0.0,1307,2465,2839,1136,9,376669,29,413153
https://lemonde.fr/,34,8,9,1,3,8,0,5,8,865.343,131.355,173.597,59.051,193.389,303.443,0.0,4.508,156.321,669,772,1169,0.19462750924615208,1469,1621,3672,1604,25,505248,46,360782
https://linkedin.com/,45,6,3,3,1,0,0,32,32,450.125,334.435,10.249,20.185,40.095,0.0,0.0,45.161,382.482,912,912,1066,0.0,1624,3477,1842,848,6,210558,39,239567
https://nature.com/,175,29,66,14,2,2,0,62,136,1915.109,1032.32,555.467,65.311,16.798,140.66,0.0,104.553,1114.193,1750,1754,2341,0.10131282518594525,4434,10322,3648,2644,42,740074,139,1178011
https://fandom.com/,226,51,103,6,4,1,0,61,206,5187.931,1493.497,3368.241,35.623,41.937,34.152,0.0,214.481,4904.102,840,879,3167,0.04104126780884103,6872,12905,16034,3732,79,3895049,150,1292882
https://google.com/,36,10,7,2,1,2,0,14,8,784.175,612.252,29.269,57.8,0.92,26.204,0.0,57.73,259.127,831,831,1371,0.0,1419,2689,3000,1196,8,376888,30,408809
https://ign.com/,512,126,127,30,7,5,0,217,486,7819.619,2663.505,1272.797,307.881,24.921,165.157,0.0,3385.358,4467.683,916,917,3585,0.0018793531603306052,12831,30901,36453,8946,81,2221818,444,5598309
https://g.co/,10,2,2,1,2,2,0,1,9,94.815,19.603,2.582,1.76,14.115,55.199,0.0,1.556,93.055,809,809,1163,0.0,903,1190,1191,651,6,38006,5,56835
https://medlineplus.gov/,67,23,27,2,4,0,0,11,38,929.23,448.375,252.603,113.064,39.701,0.0,0.0,75.487,619.133,429,443,1102,0.07775701766864154,1819,3255,4415,1339,27,323216,45,608804
https://aol.com/,206,52,76,6,21,3,0,48,198,5147.184,969.735,568.81,362.707,80.964,130.434,0.0,3034.534,5054.713,1594,1594,3252,0.13218619446227717,6444,7900,8840,4771,135,1604824,79,3542360
https://goodhousekeeping.com/,231,87,60,8,3,9,0,64,184,3143.362,1572.055,571.888,103.566,2.291,513.687,0.0,379.875,2326.126,858,896,2458,0.0071938667558004085,6691,14715,8230,2588,64,1615458,178,1527904
https://ups.com/,153,48,25,9,2,14,0,55,124,2455.834,948.845,11.548,92.423,44.067,1012.027,0.0,346.924,1194.242,1452,1632,3043,0.0,3708,7112,6955,3245,50,1445326,107,1015932
https://instagram.com/,34,10,9,1,2,0,0,12,3,2060.783,996.728,839.05,40.685,43.54,0.0,0.0,140.78,90.108,901,1501,2461,0.015049272022212254,2100,1501,3005,1535,23,1656037,13,404746
https://metro.co.uk/,675,72,206,71,2,5,2,317,625,7133.112,1684.16,1066.017,480.636,27.749,41.732,3506.103,326.715,2326.558,984,984,2621,0.048035608539525064,12966,21823,30252,3035,163,2150735,524,4986545
https://globo.com/,270,66,120,8,3,5,0,68,241,2667.92,1464.416,825.268,175.542,34.083,95.718,0.0,72.893,2444.818,3486,4470,4499,8.485926180607973e-05,8004,13632,19317,8376,111,1804205,162,863715
https://sciencemag.org/,174,52,64,10,4,9,0,35,120,10976.452,1116.549,9468.318,65.648,114.162,200.191,0.0,11.584,908.382,6880,7023,16842,0.01740170179898543,8748,14647,20688,6913,27,2345493,149,8635921
https://weibo.com/,203,51,105,17,3,1,0,26,184,2283.024,604.596,1427.965,41.954,66.597,27.174,0.0,114.738,1721.865,2960,2960,4641,0.3041661048241455,7607,8955,14658,3834,124,2037481,84,255969
https://wpengine.com/,56,27,10,1,10,3,1,4,4,567.289,290.073,34.428,79.996,62.656,83.888,14.288,1.96,126.404,902,951,1002,0.007363204701987684,1876,1911,3865,3460,56,477611,14,89678
https://about.me/,36,17,7,2,2,3,0,5,18,1298.948,525.86,659.911,22.017,1.086,87.438,0.0,2.636,345.102,749,917,1758,0.0005902856122352438,1598,2462,3197,900,16,1029313,21,279140
https://sky.com/,191,87,37,8,3,4,10,42,146,4692.904,2090.452,127.646,93.725,20.835,104.022,2194.01,62.214,3668.027,1792,1792,4010,0.0,9092,20110,23106,6566,100,1707586,96,3001198
https://de.wikipedia.org/,51,11,32,1,2,0,0,5,27,1100.992,960.319,97.828,18.258,15.018,0.0,0.0,9.569,89.715,408,412,581,0.007287323859011999,1127,1292,1556,790,34,143959,17,957033
https://thestar.com/,405,90,95,20,7,16,0,177,302,5885.258,3482.157,421.583,132.779,69.996,587.681,0.0,1191.062,3647.676,3335,3335,8099,0.0002668312872714987,9850,26593,43413,5239,88,2844063,324,3050931
https://bilibili.com/,158,10,44,2,7,0,0,95,70,2134.315,525.086,1448.518,42.046,63.349,0.0,0.0,55.316,2043.362,2349,2349,4724,0.0011733886311725457,7862,10861,7565,5813,55,1716691,107,417624
https://jotform.com/,47,17,9,2,0,3,0,16,43,821.591,396.636,39.573,157.976,0.0,217.114,0.0,10.292,661.933,940,984,2314,0.0019170021679809158,2463,3906,3035,2022,11,553521,38,268070
https://bloomberg.com/,17,5,0,1,1,3,0,7,12,569.3,470.192,0.0,4.82,0.834,89.558,0.0,3.896,263.754,1104,1535,2027,0.0639769585631731,2526,4219,2382,1247,10,451045,9,140375
https://hugedomains.com/,61,10,32,1,10,1,0,7,13,467.427,149.77,228.28,6.913,57.312,13.478,0.0,11.674,88.866,987,987,987,0.0070750344044603584,1387,1983,2767,2225,27,179092,35,289367
https://calendar.google.com/,24,5,1,3,0,8,0,7,14,630.396,27.524,0.009,526.254,0.0,74.59,0.0,2.019,115.407,1255,1579,1565,0.0,2353,2239,3523,1517,11,574970,15,57470
https://wikipedia.org/,8,2,3,1,0,0,0,2,0,72.889,11.009,38.999,19.261,0.0,0.0,0.0,3.62,0.0,1050,1050,1320,0.0006195130817532352,1801,1401,2214,2094,7,70666,1,2223
https://opera.com/,57,13,17,2,11,2,0,12,54,712.377,463.176,117.679,18.678,35.065,58.292,0.0,19.487,693.918,2455,2455,2722,0.4722454580385712,3408,5399,3753,3368,28,367680,29,344697
https://adweek.com/,216,80,50,8,18,7,0,53,145,2880.25,1380.994,874.231,57.046,149.572,306.917,0.0,111.49,1468.838,2404,2404,3011,0.0,8548,19504,26583,6047,75,1591833,149,1289810
https://usa.gov/,82,27,33,1,4,4,0,13,28,1016.506,477.139,373.074,13.446,45.141,100.99,0.0,6.716,386.312,1151,1202,2102,0.04593207402264024,1958,2703,3838,1518,55,721444,28,298736
https://visualstudio.com/,134,25,37,2,49,4,0,17,18,6619.101,403.773,5808.925,52.754,204.535,121.909,0.0,27.205,221.226,2090,2169,5019,0.0033363752293257623,3689,5732,4857,4314,98,2089022,37,4530079
https://un.org/,25,4,6,1,8,2,0,4,10,1572.399,77.345,1427.283,3.332,45.297,18.23,0.0,0.912,99.372,1861,1972,2402,0.007519948632635789,3168,1972,3129,1931,25,1572399,1,695
https://openssl.org/,13,3,2,1,3,3,0,1,6,107.396,36.297,19.174,2.943,9.786,38.862,0.0,0.334,71.81,1601,1601,1659,0.011463265833140085,1677,1601,1484,1183,13,107396,1,6931
https://arcgis.com/,126,91,3,1,3,2,0,26,15,847.689,468.577,270.757,1.157,33.781,50.115,0.0,23.302,8.201,1611,1723,2744,0.016955107368006306,2497,2742,4515,1594,44,710190,84,142517
https://bizjournals.com/,270,86,87,17,8,14,0,58,234,4155.291,2371.721,968.042,124.031,253.011,284.184,0.0,154.302,3380.026,1526,1526,2015,0.09620938617249594,5877,11557,19522,4447,49,2084232,232,2073111
https://columbia.edu/,108,11,67,3,4,13,0,10,23,14768.265,462.243,13254.744,157.04,93.728,597.523,0.0,202.987,711.316,2764,2900,9916,0.0012178825296970707,8892,8838,14141,5734,92,7010118,16,7758147
https://ubc.ca/,37,11,12,4,3,1,0,6,17,784.262,234.396,363.61,9.71,110.647,64.019,0.0,1.88,232.166,1280,1280,2140,0.6001375623287052,1662,2328,3262,1742,29,728414,15,127851
https://verisign.com/,42,17,8,1,1,4,0,11,11,605.836,364.569,48.771,24.115,20.829,62.456,0.0,85.096,113.938,945,1455,1588,0.002915574543295898,2312,3580,3005,2172,26,358053,20,247783
https://trustpilot.com/,141,20,89,3,4,6,0,19,87,1901.969,748.725,733.888,62.823,68.371,139.082,0.0,149.08,1322.073,1894,1894,2296,0.0012325416949826341,3307,5943,9288,5655,35,332393,109,1585095
https://yelp.com/,124,44,42,1,7,5,0,25,113,2642.254,720.903,1589.675,45.607,52.086,153.312,0.0,80.671,2565.053,1146,1146,1629,0.1399897551597737,2946,4628,4136,4133,38,654478,87,2003112
https://about.com/,69,19,16,1,0,2,28,3,5,14378.528,473.396,1413.047,31.377,0.0,167.694,12292.212,0.802,106.057,1023,1921,3002,0.4206294094191966,2309,3035,3264,2861,36,1976536,34,12405499
https://purdue.edu/,243,67,40,9,18,15,0,94,229,8787.242,2426.167,1090.346,79.492,216.05,449.413,0.0,4525.774,8183.438,1794,1834,5212,0.0029943266216655427,6070,9214,17795,2666,84,2711876,165,6077023
https://blogspot.com/,63,3,45,1,2,4,0,8,53,1889.507,36.148,1723.193,73.48,7.991,45.252,0.0,3.443,1737.168,1106,1416,2929,0.0006125556358400912,3687,1416,3756,2236,64,1890835,0,0
https://twitch.tv/,168,25,72,3,8,2,0,58,158,4022.34,1511.625,914.497,45.844,29.555,67.676,0.0,1453.143,3955.745,582,5819,9036,0.0022898812129702596,14103,19591,29016,7195,28,1386915,141,2635425
https://quora.com/,33,17,5,1,2,0,0,8,26,2381.323,838.242,1218.535,20.379,14.485,0.0,0.0,289.682,2355.654,1098,2388,2893,0.03745318352059925,3384,3892,3756,1284,12,1716226,21,665097
https://plus.google.com/,22,5,1,3,0,8,0,5,14,631.571,27.523,0.009,526.302,0.0,75.01,0.0,2.727,116.02,1232,1528,1528,0.0,2301,1528,5014,2111,6,542153,18,91461
https://lnkd.in/,45,6,3,3,1,0,0,32,34,448.901,334.436,10.248,20.146,40.095,0.0,0.0,43.976,383.284,958,958,1047,0.0,1361,2541,1505,727,7,211153,38,237748
https://telegram.org/,29,2,18,1,2,0,2,4,0,1214.498,14.07,654.685,6.292,40.316,0.0,496.55,2.585,0.0,565,568,771,0.0,1279,588,1924,1220,23,612100,8,617727
https://whitehouse.gov/,32,6,6,1,1,7,0,11,8,1083.62,192.577,405.16,54.077,74.106,354.034,0.0,3.666,149.049,926,1017,2488,0.0,1900,2648,2415,1176,29,1080269,4,3351
https://tmall.com/,95,27,31,2,1,2,0,32,72,1052.393,353.364,598.816,7.849,4.327,22.96,0.0,65.077,1032.948,2033,2033,2569,0.009387114589461,3797,4159,8218,3449,37,772370,59,280225
https://gamespot.com/,586,113,254,38,3,10,1,167,483,6322.072,2610.965,1612.343,384.675,106.582,239.017,1199.657,168.833,4154.362,2029,2029,3389,0.015349112098551207,14558,25226,7051,5258,207,3470511,395,2856008
https://thehill.com/,420,84,107,31,15,8,0,175,367,7157.888,2317.589,4205.408,103.392,156.8,119.92,0.0,254.779,2699.242,2053,2056,4636,0.043912854913980635,13817,29508,43183,6637,83,3524201,356,3633687
https://eventbrite.com/,111,53,32,3,6,0,0,17,107,1823.906,1336.877,383.619,24.374,42.841,0.0,0.0,36.195,1770.699,1921,1921,2519,0.005798052812749304,4472,7171,9882,2737,51,1225951,61,613343
https://wa.gov/,93,25,58,2,8,0,0,0,11,1998.153,489.433,1425.016,24.668,59.036,0.0,0.0,0.0,130.486,891,1144,1414,0.002736135174087614,1793,1511,2729,1739,61,1271747,33,727318
https://adobe.com/,227,68,51,10,4,3,1,90,203,4930.722,1356.199,617.216,46.237,82.227,166.836,2600.167,61.84,1924.552,1225,1257,3421,0.0,7902,10572,3823,2286,146,4577642,86,354213
https://nps.gov/,70,23,26,1,9,2,0,9,13,2066.5,429.636,1333.294,8.957,118.761,121.99,0.0,53.862,177.062,1439,1559,3058,0.029712662542608254,3141,2699,5035,3584,66,2010987,9,56658
https://googleblog.com/,61,17,30,1,3,4,0,6,42,9879.113,575.908,9064.628,63.627,108.152,62.618,0.0,4.18,9337.503,1540,1827,2783,0.0,3622,3370,11373,2057,52,3717063,11,6163958
https://ea.com/,144,77,27,1,0,31,0,8,43,4812.581,602.509,2744.471,26.788,0.0,1429.645,0.0,9.168,1458.134,1469,2797,10010,1.2943696954636879,13167,14203,18686,2885,106,2491091,42,2321490
https://blogspot.ca/,36,10,7,2,1,2,0,14,9,787.345,612.252,29.269,57.776,0.92,26.203,0.0,60.925,259.399,803,803,811,0.0,1308,2529,2709,1047,9,376833,29,412033
https://aliexpress.com/,205,39,77,4,6,4,0,75,185,2265.219,1034.291,988.122,16.156,48.737,48.72,0.0,129.193,2099.291,1945,2188,3443,0.06870002850438156,7123,7509,32502,2886,165,1567303,41,697916
https://politico.com/,509,105,135,41,15,36,0,177,452,4565.434,2577.695,846.417,268.645,80.549,460.889,0.0,331.239,3665.101,2125,2205,2392,0.20302364255526573,15865,28307,44702,3855,131,2684993,390,1880441
https://bostonglobe.com/,561,72,207,44,4,6,0,228,491,4003.035,2707.923,654.555,293.372,9.134,128.755,0.0,209.296,2897.647,1939,1939,6532,0.27419585438563976,7645,12513,26585,8870,171,2437609,394,1565426
https://semanticscholar.org/,41,15,10,1,4,4,0,7,28,1282.409,1038.272,10.683,84.798,77.461,66.755,0.0,4.44,473.093,1241,1281,1301,0.00025688372739908244,2807,6390,8629,2163,24,1031467,21,260194
https://cmu.edu/,95,19,30,2,5,3,0,36,60,12348.965,1117.801,4696.683,89.052,118.551,71.047,0.0,6255.831,8374.4,1437,1589,4546,0.00019330449357619255,4475,5939,7838,3297,39,3800684,57,8563803
https://stackoverflow.com/,43,6,27,1,4,4,0,1,42,606.784,147.978,182.373,52.669,133.864,84.322,0.0,5.578,554.115,960,1147,1455,0.019404903751078548,1740,1689,2665,1820,38,516884,5,89900
https://mail.ru/,323,33,198,7,5,1,0,79,111,3946.777,1814.631,1673.202,108.397,45.942,63.591,0.0,241.014,2176.675,2487,2487,6781,0.0003372335221213741,9874,15222,25962,4259,147,1051655,182,2912292
https://herokuapp.com/,183,42,80,14,15,9,1,22,97,4204.303,1924.871,1415.591,210.912,201.531,250.735,0.599,200.064,1939.966,2010,2355,4118,1.8901157471979502,5933,8166,10096,8906,123,2732863,69,1522107
https://angelfire.com/,27,4,16,1,3,0,0,3,26,531.161,117.27,385.357,14.395,12.932,0.0,0.0,1.207,516.766,2772,2834,3361,0.02663304439190964,3579,3442,4386,3422,16,331812,12,211311
https://att.com/,220,94,34,9,6,6,0,71,130,3804.015,2266.585,170.689,438.117,152.341,76.927,0.0,699.356,1902.101,2260,2260,2739,0.0,6363,18709,9172,5573,30,661113,197,3144368
https://prnewswire.com/,113,53,31,3,1,8,0,17,55,2478.425,723.336,1488.24,27.036,83.413,112.43,0.0,43.97,537.595,1432,1485,4013,0.00550770596303688,4068,5774,3369,3054,72,2143493,41,334932
https://rfc-editor.org/,16,4,3,1,5,1,0,2,2,299.057,44.893,164.707,14.938,60.231,13.478,0.0,0.81,14.592,1077,1077,1155,0.012376418923109478,1966,1164,2588,2006,14,232946,2,66111
https://irishtimes.com/,177,34,61,5,9,14,0,54,86,5736.024,831.24,4174.888,178.757,80.827,296.424,0.0,173.888,3420.288,2208,3464,5705,0.42857960077395485,11352,10156,17371,10787,159,3123497,19,2612527
https://policies.google.com/,24,7,6,1,1,4,0,5,18,389.959,273.356,8.452,55.871,0.666,50.412,0.0,1.202,293.82,553,806,1116,0.00011496674608568122,970,1738,1659,975,15,223781,11,167787
https://pitt.edu/,128,40,22,1,51,4,2,8,26,20869.728,704.539,974.722,24.29,108.948,156.432,18894.589,6.208,431.294,1303,1359,1530,0.00334702457937917,4108,3540,6215,4278,114,20762320,16,112687
https://uiowa.edu/,188,33,52,4,23,9,7,60,117,14055.463,948.478,2778.469,30.091,70.703,235.075,9958.302,34.345,434.654,1178,1516,4399,0.01292112101274614,3970,7734,9120,3258,56,1978587,140,12083501
https://amazon.co.jp/,307,10,218,3,3,8,0,65,272,2510.077,280.381,1854.525,102.689,66.458,173.649,0.0,32.375,2407.356,1335,1366,5190,0.014787910044311691,3699,6158,6095,3626,67,982822,241,1530240
https://google.es/,37,10,7,2,1,2,0,15,13,786.556,612.271,29.5,57.978,0.92,26.203,0.0,59.684,319.584,851,851,1403,0.0,4197,3514,8301,5619,10,376820,29,411255
https://cdc.gov/,75,25,17,3,7,6,0,17,10,3560.704,494.891,2422.743,52.474,230.895,302.728,0.0,56.973,39.104,977,1263,2926,0.28436711825598704,2605,4414,3787,2089,34,3082431,41,478273
https://office365.com/,233,60,74,6,10,5,0,78,140,2962.726,776.179,1824.532,49.796,110.175,143.085,0.0,58.959,485.251,1452,1861,3034,0.16232543682509878,5745,11725,8303,5006,54,736190,181,2226536
https://euronews.com/,144,64,25,4,9,7,0,35,68,1334.736,853.754,224.643,66.496,64.759,90.707,0.0,34.377,697.886,1273,1310,2091,0.001229547029576644,2608,5741,7225,3008,31,471245,114,863491
https://ibtimes.com/,430,57,153,32,3,12,0,173,345,4253.309,1485.388,2067.648,120.605,92.205,384.443,0.0,103.02,2119.928,1268,1741,4129,0.00035496035316838893,10477,15602,20818,3657,244,3735800,189,519835
https://wp.com/,111,40,35,8,3,1,2,22,104,9981.91,971.377,221.288,49.355,33.382,33.837,8667.258,5.413,1275.651,912,912,1748,0.0037355439336975087,3128,7466,10856,2078,37,385423,78,9596487
https://oregonstate.edu/,66,21,17,3,6,6,5,8,42,7252.702,452.806,233.596,13.93,81.537,521.765,5946.69,2.378,845.696,660,712,1193,0.0003602387909059409,2192,5154,6551,1516,29,1030400,38,6241315
https://stackexchange.com/,77,4,68,1,2,0,0,2,70,691.389,52.402,547.815,19.019,71.269,0.0,0.0,0.884,658.279,754,754,754,0.03828143341024533,1680,754,4422,2380,28,188338,50,508547
https://olympics.com/,121,33,42,5,3,3,0,35,67,3706.176,1021.341,892.006,32.474,1486.283,167.169,0.0,106.903,2866.38,1329,1329,2190,0.05309008081578639,3967,5544,4724,3269,84,1823266,41,1882910
https://foreignpolicy.com/,456,66,138,32,5,7,0,208,414,12632.524,1680.177,10102.55,110.296,337.069,184.499,0.0,217.933,2062.364,1033,1033,4158,0.017293640017274604,5527,13951,19038,2606,82,3929539,379,8703785
https://telegra.ph/,13,7,1,1,2,0,0,2,1,300.207,116.153,3.473,1.645,172.947,0.0,0.0,5.989,0.178,1254,1375,1564,0.0017141756413624025,2091,1435,2217,2053,16,382247,0,0
https://nist.gov/,62,6,43,1,5,4,0,3,6,1719.984,116.697,1422.467,18.685,77.661,84.299,0.0,0.175,36.797,1751,2060,6274,0.46480185776624544,2936,2782,4493,3271,49,1027745,14,694770
https://venturebeat.com/,136,45,31,6,2,4,0,48,118,1972.899,1133.971,643.801,38.03,28.141,82.633,0.0,46.323,1358.575,729,743,1297,0.12308687473194964,3711,6065,1586,1441,55,1192895,85,783578
https://imdb.com/,201,21,91,3,3,3,0,80,178,2352.612,813.668,1238.039,161.493,34.337,33.677,0.0,71.398,2157.984,1724,1807,2043,0.20108335295678392,4892,9473,15141,6373,38,1317168,163,1035444
https://thelancet.com/,99,20,21,5,15,14,0,24,65,2024.351,708.442,408.438,59.899,150.095,653.532,0.0,43.945,924.046,2091,2330,4246,0.9999188169165262,5372,4788,6923,4909,93,1792922,11,255197
https://steampowered.com/,114,11,87,1,9,4,0,2,111,6257.334,186.449,5404.205,78.397,87.575,500.036,0.0,0.672,6178.265,1326,1615,2241,0.14883543818123374,2341,1793,4599,2995,48,1303132,68,4993065
https://aljazeera.com/,651,97,157,72,6,6,0,313,601,3704.753,2367.4,586.473,182.28,65.79,144.004,0.0,358.806,2427.387,2078,2078,2078,0.035341910646594935,5823,18068,38316,3563,52,1538021,605,2166732
https://plesk.com/,179,67,47,3,44,6,0,12,34,1739.26,793.115,332.415,63.966,241.621,301.537,0.0,6.606,386.293,1907,2050,2343,0.13121377449461782,4754,7167,8730,5832,128,1143779,57,595481
https://business.site/,67,12,27,1,2,15,0,10,55,862.013,369.834,183.952,28.457,37.075,229.225,0.0,13.47,745.165,1380,1380,1692,0.00043228932099279434,2014,2576,2368,2258,49,532316,19,329697
https://researchgate.net/,40,14,7,1,8,3,0,7,31,1198.651,861.327,184.826,10.128,61.967,61.166,0.0,19.237,1031.707,1587,1587,2943,6.184593472240503e-05,2093,3212,3073,2329,30,996660,11,203698
https://flic.kr/,10,5,3,1,1,0,0,0,9,356.169,57.135,1.911,75.479,221.644,0.0,0.0,0.0,280.69,677,694,694,0.009390484195779703,931,694,1104,874,1,75479,9,280690
https://investopedia.com/,249,45,66,22,11,2,0,103,227,1611.494,1182.123,213.271,77.87,20.75,39.332,0.0,78.148,1229.485,742,754,1010,0.00029472857111732494,2743,8012,3820,1699,37,538226,216,1088464
https://northwestern.edu/,50,3,32,1,2,6,0,6,5,1715.425,54.342,1306.159,9.581,22.135,321.722,0.0,1.486,52.627,1492,1492,2711,0.6498507720149003,3439,2710,5909,3963,40,1425079,11,295590
